EAN;stan
5.90432E+12;0
5.90432E+12;0
5.90432E+12;0
4.89713E+12;0
5.90432E+12;0
5.90432E+12;0
4.89713E+12;0
4.89713E+12;0
4.71242E+12;0
8.43654E+12;0
8.43654E+12;0
5.90569E+12;0
4.89713E+12;0
4.71242E+12;0
5.90829E+12;0
5.90829E+12;0
5.90829E+12;0
5.05084E+12;0
5.90827E+12;0
5.90821E+12;0
7.93592E+11;0
7.93592E+11;0
7.93592E+11;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90568E+12;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90568E+12;0
5.90568E+12;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90568E+12;0
5.90672E+12;0
5.90672E+12;0
5.90175E+12;0
5.90568E+12;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90568E+12;0
5.90568E+12;0
5.90568E+12;0
5.90568E+12;0
5.90568E+12;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90672E+12;0
5.90568E+12;0
5.90436E+12;0
5.90436E+12;0
5.90436E+12;0
5.90436E+12;0
5.90436E+12;0
5.90436E+12;0
5.90436E+12;0
5.90436E+12;0
5.90436E+12;0
5.90436E+12;0
5.90436E+12;0
5.90436E+12;0
5.90436E+12;0
5.90436E+12;0
5.90436E+12;0
5.90436E+12;0
5.90436E+12;0
5.90436E+12;0
5.90436E+12;0
5.90436E+12;0
5.90436E+12;0
5.90436E+12;0
5.90436E+12;0
5.90536E+12;0
5.90536E+12;0
5.90436E+12;0
5.90269E+12;0
5.90269E+12;0
5.90269E+12;0
5.90269E+12;0
5.90269E+12;0
5.90269E+12;0
5.90269E+12;0
5.90269E+12;0
5.90544E+12;0
7.55907E+11;0
7.55907E+11;0
5.06062E+12;0
5.06062E+12;0
5.9027E+12;0
5.90475E+12;0
5.90475E+12;0
9.00162E+12;0
9.00162E+12;0
6.92716E+12;0
5.90332E+12;0
5.90332E+12;0
5.90663E+12;0
5.90441E+12;0
