barcode,total_quantity
5060639145973,24
4820148900507,68
5200384504124,135
4820148900606,107
5712854626620,92
5055166359795,33
3550833301319,59
3550833901120,5
8427614408527,8
8427614408534,11
8427614408565,10
8427614408701,5
8427614408718,21
8427614408725,18
191856071013,8
191856071020,33
191856071037,41
191856071051,211
191856071068,218
191856071075,45
191856071082,61
191856071112,69
191856071129,172
191856071136,93
191856071167,37
191856071174,138
191856071181,10
191856071198,8
191856071204,65
191856072010,52
191856072027,174
191856072041,62
191856072058,154
191856072065,205
191856073017,5
191856073048,24
191856073055,216
191856073062,2
191856073086,11
191856073093,203
191856073109,1
191856073123,192
191856074014,47
191856074021,59
191856074038,63
191856074045,61
191856074052,62
191856074069,20
191856074083,18
191856074113,257
191856074144,1
191856074151,8
191856074175,162
191856075035,18
191856075059,15
191856075066,16
191856075110,169
191856075127,81
191856075134,317
191856075325,21
191856076315,65
191856076322,210
191856076513,213
191856077015,9
191856077428,184
191856077435,185
191856079019,15
191856079026,7
191856079040,25
191856079132,104
191856079187,200
191856079194,45
191856079330,25
191856079354,7
191856079415,5
191856079712,1
5060204030161,10
5060204030703,35
5200384504940,14
5200384504896,34
5200384504780,34
5200384504858,22
5200384504902,45
5200384504933,40
5200384504827,50
0000000002222,3
5200384504698,20
5200384504513,26
5200384504537,21
5200384504575,40
5200384504490,67
5200384504551,36
5200384504643,56
5200384504667,54
4820148900590,86
4820148900736,54
4820148900729,59
4820148900552,101
5710409109017,71
3550833900413,1
5055166360487,56
5055166360494,21
5055166360654,1
5055166360661,3
5055166360524,10
5055166360531,10
5055166360579,69
5055166360586,14
5055166360814,108
5055166360708,7
5055166360715,10
5055166360609,2
5055166360616,8
5200384503929,23
5200384504209,45
5200384504650,87
5060639147618,84
5060639147625,26
5060639147649,85
5060639147656,65
5060639147663,9
5060639147670,40
8699296254543,154
8699296254550,113
8699296254567,85
8699296255175,40
8699296255182,53
8699296255199,98
8699296255427,63
8699296259517,52
8699296259531,49
8699296259555,49
8699296259616,41
8699296253072,175
8699296253089,111
8699296253096,97
8699296250675,1
8699296253058,92
8699296256585,279
8699296256608,249
8699296256615,118
8699296257346,23
5710409109123,10
5710409109925,55
5710409109949,41
5710409108829,15
5710409108812,12
5710409109994,166
5710409110006,190
5710409110013,193
5710409110020,125
5710409110037,149
5710409110044,160
5710409110068,76
5710409202121,5
5710409202121,8
5710409202046,5
5710409202053,19
5710409202138,44
5710409108102,5
5710409109918,19
5710409109932,43
5055166361378,4
5055166361644,24
5055166361651,68
5055166361408,40
5055166361415,77
5055166360234,63
5055166360258,56
5055166359658,88
5055166359689,75
5055166361736,46
5055166359337,20
5055166361033,12
5055166358873,58
5055166360036,51
5055166360029,3
5055166360012,41
5055166360104,65
5055166360098,28
5055166360418,68
3550833300817,6
3550833300831,11
3550833301395,12
3550833301425,9
3550833301449,17
3550833301456,196
3550833301463,12
3550833301470,8
3550833400890,45
3550833501016,15
3550833900604,16
3550833900611,12
3550833900635,16
3550833301432,18
5060204034374,5
5060204034381,5
5060204034398,5
5060204034343,5
5060204034350,5
5060204034367,5
5060204034404,4
5060204034411,5
5060204034428,4
5710409110518,217
5710409110525,381
5710409110532,130
5710409111058,226
5710409111041,111
3550833200216,4
5425020500814,2
5425020500777,1
5425020500791,3
5425020500838,1
5425020500807,4
5425020500760,3
5425020500784,5
5425020500821,5
8906139541556,234
8906139540900,226
8906139540924,131
8906139541648,235
8906139546131,230
8906139540542,232
8906139540559,223
8906139540573,232
8906139546025,215
5060204034619,7
3550839922464,11
3550833301487,11
8699296259852,73
5710409110433,14
5710409202114,16
8699296258305,36
8699296258312,40
8699296259876,77
8699296259869,87
8699296259845,97
8699296257261,82
8699296257278,81
8699296257582,175
8699296257513,165
8699296257674,171
8699296257698,176
5060639148189,8
5060639148264,48
5060639148301,6
5060639148288,15
5060639148363,20
5060639148325,12
6938242952372,311
6938242955281,241
6938242955519,431
6938242955557,285
6938242955922,69
6938242956394,152
6938242956769,45
6938242957087,62
6938242957094,45
6938242957377,145
6938242957506,44
6938242957537,337
6938242957629,47
6938242958251,40
